日期, 成交股數, 成交金額, 開盤價, 最高價, 最低價, 收盤價, 漲跌價差, 成交筆數
112/04/06,26706549,14130223516,530.00,531.00,526.00,530.00,-3.00,19144
112/04/07,11114272,5903807797,535.00,535.00,529.00,531.00,+1.00,10285
112/04/10,8203168,4350907176,533.00,533.00,528.00,529.00,-2.00,11698
112/04/11,23087326,12101146147,522.00,527.00,522.00,524.00,-5.00,24432
112/04/12,24772925,12870788209,523.00,524.00,517.00,520.00,-4.00,37158
112/04/13,27501436,14121978133,515.00,517.00,510.00,510.00,-10.00,64834
112/04/14,21174653,10936462759,516.00,520.00,513.00,516.00,+6.00,19962
112/04/17,17895837,9264789087,519.00,520.00,514.00,520.00,+4.00,17444
112/04/18,15687059,8097905529,518.00,520.00,514.00,515.00,-5.00,17087
112/04/19,23209923,11881404238,517.00,518.00,509.00,510.00,-5.00,43281
112/04/20,21002685,10780268259,512.00,516.00,510.00,513.00,+3.00,16627
112/04/21,25440179,13103618008,520.00,520.00,510.00,511.00,-2.00,22738
112/04/24,17579661,8903570323,505.00,510.00,504.00,507.00,-4.00,31635
112/04/25,40916105,20495640143,504.00,505.00,498.00,498.00,-9.00,92009
112/04/26,33174539,16353670134,498.00,498.50,491.00,491.50,-6.50,58580
112/04/27,34149043,16816693302,491.00,495.00,489.00,493.50,+2.00,47699
112/04/28,38812949,19433015577,498.50,502.00,498.00,502.00,+8.50,23746
